rep_number,first_name,last_name,party,Har ingen registreringspliktige interesser,Styreverv mv.,Selvstendig næring,Lønnet stilling mv.,Tidligere arbeidsgiver,Framtidig arbeidsgiver,Økonomisk støtte,Eiendom i næring,Aksjer mv.,Utenlandsreiser,Gaver,Opplysninger om selskapsgjeld,Andre forhold,Ingen registrerte opplysninger
128,Solveig Sundbø,Abrahamsen,H,True,,,,,,,,,,,,,
142,Elin Rodum,Agdestein,H,,"Høy & Rodum Eiendom AS, styreleder
KomRev Trøndelag IKS, styreleder (lønnet)
HRE Holding AS, styreleder
Dr. Agdestein AS, styremedlem (vara)
Steinkjer Montessoribarnehage, styremedlem
Naboer AB, styremedlem
Steinkjer Montessoriforening, styremedlem",,,,,,"Fyrgt 3, Steinkjer
Kongensgt 38, Steinkjer
Otto Sverdrups vei 50, Steinkjer
Åsveien 57-59, Steinkjer","Høy & Rodum Eiendom AS
HRE Holding AS",,,,,
107,Grunde,Almeland,V,,- Råd for kjønns- og seksualitetsmangfold i Oslo kommune (godtgjørelse),,,,,,,,"- 14.-22. juli 2018, Tanzania, European Parliamentary
Forum on Population and Development
- 16.-19. mai 2019, Colombia, Caribe Afirmativo (oppdrag formidlet via den norske ambassaden i Bogotá)",,,,
135,Per-Willy,Amundsen,FrP,True,,,,,,,,,,,,,
155,Dag Terje,Andersen,A,True,,,,,,,,,,,,,
48,Karin,Andersen,SV,,Styremedlem i Høgskolestiftelsen i Kongsvinger (møtegodtgjørelse),,,,,,,,"Reise i regi av IAVI til Kenya og Uganda 9 til 14 januar
2017. Reise og opphold betalt av IAVI. Div dekket privat. antatt verdi 12.000,- .
Avventer korrekt beløp for det har jeg ennå ikke fått fra
organisasjonen.
IAVI- International AIDS Vaccine Initiative
Van Diemenstraat 48
1013 NH Amsterdam, The Netherlands
.","To billetter til Peer Gynt-forestillingen og to overnattinger på hotell for to personer i forbindelse med oppdrag om
å dele ut årets Peer Gynt i 2010. Betalt av Peer Gynt AS.
2 billetter til Sting-konsert på Hamar august 2017.",,,
140,Marit,Arnstad,Sp,,,,"Senterpartiet, parlamentarisk leder, lønnet.",,,,,"Aksjer i Gjensidige ASA,
Aksje i AS Nord-Trøndelag
Aksjer i Klassekampen",,,,,
16,Henrik,Asheim,H,,"Styremedlem i Sex og Samfunn 2012-2014, vervet er
godtgjort, men har frasagt meg godtgjørelsen
1.vara i styret i Bærum Montesorriskole, ulønnet",,,,,,,,,,,,
150,Jorodd,Asphjell,A,True,,,,,,,,,,,,,
23,Åsmund,Aukrust,A,,"Fra juni 2015: Styremedlem Regnskogfondet, ulønnet
verv",,,,,,,,,,,,
100,Une,Bastholm,MDG,,,"Gruppeinstruktør i aerobic (Krønsj), ingen inntekt.",,"Ingen. (Som nasjonal talsperson har jeg rett på lønn fra
Miljøpartiet De Grønne, dersom inntekt, pensjonsrettigheter og forsikring fra Stortinget skulle falle bort. Jeg
mottar ingen slike fordeler i dag.)",,,,,,,,"Min samboer jobber med politisk påvirkning og myndighetskontakt som politisk rådgiver for Tax Justice
Network Norge. Det kan være relevant for allmennheten
når det gjelder mitt arbeid i finanskomiteen med saker
som skattelegging av internasjonale selskaper og Norges
posisjon til internasjonale skatteregler (eks skatteparadisproblematikk).",
132,Geir Jørgen,Bekkevold,KrF,True,,,,,,,,,,,,,
8,Norunn Tveiten,Benestad,H,,"Nestleder i Sparebanken Pluss, Kristiansand. Lønnet.
Avsluttes ved nyttår 2013/2014.
Styremedlem i Avfall Sør AS, Kristiansand. Lønnet.
Styremedlem i Avfall Sør Husholdning AS, Kristiansand. Lønnet
Rådsmedlem i stiftelsen Cultiva, Kristiansand. Møtegodtgjørelse.
Medlem i Formannskapet i Kristiansand for valgperioden
2011-2015. Lønnet. Har meldt stående forfall og mottar
ikke lønn i stortingsperioden.
Medlem av Kommunalutvalget i Kristiansand kommune.
Lønnet. Har meldt stående forfall og mottar ikke godtgjørelse i stortingsperioden.
Medlem av Bystyret i Krisansand. Lønnet. Har meldt
stående forfall og mottar ikke godtgjørelse i stortingsperioden.",,,"Har permisjon fra Cappelen Damm, mottar ikke lønn i
stortingsperioden.",,,,,,,,,
71,Fredric Holen,Bjørdal,A,,,,"Engasjement som miljøterapeut i Bufetat, Sunnmørsheimen akuttinstitusjon i Volda. Sommarvikar i 2014.",,,,,,,"Hospitering hos Statoil sine ulike lokalitetar i Noreg, 2326.august 2016. Stortinget betalte reise og opphald, Statoil betalte måltid og helikoptertur til plattform.",,,
64,Nils T.,Bjørke,Sp,,"Styremedlem Ausfjelli grunneigarlag og sankelag, (ulønna)
Styremedlem Kveik AS (lønna)",Sjølvstendig næringsdrivande oppdrag i jord og skogbruk,,,,,,,,,,,
